19-09-03 00:44:06    Log Started
19-09-08 05:14:08 TCP/IP File Server started
19-09-08 05:44:08 TCP/IP File Server started
19-09-08 06:14:08 TCP/IP File Server started
19-09-08 06:44:08 TCP/IP File Server started
19-09-08 07:14:08 TCP/IP File Server started
19-09-08 07:44:08 TCP/IP File Server started
19-09-08 08:14:08 TCP/IP File Server started
19-09-08 08:44:08 TCP/IP File Server started
19-09-08 09:14:08 TCP/IP File Server started
19-09-08 09:44:08 TCP/IP File Server started
19-09-08 10:14:08 TCP/IP File Server started
19-09-08 10:44:08 TCP/IP File Server started
19-09-08 11:14:08 TCP/IP File Server started
19-09-08 11:44:08 TCP/IP File Server started
19-09-08 12:14:08 TCP/IP File Server started
19-09-08 12:44:08 TCP/IP File Server started
19-09-08 13:14:08 TCP/IP File Server started
19-09-08 13:44:08 TCP/IP File Server started
19-09-08 14:14:08 TCP/IP File Server started
19-09-08 14:44:08 TCP/IP File Server started
19-09-08 15:14:08 TCP/IP File Server started
19-09-08 15:44:08 TCP/IP File Server started
19-09-08 16:14:08 TCP/IP File Server started
19-09-08 16:44:08 TCP/IP File Server started
19-09-08 17:14:08 TCP/IP File Server started
19-09-08 17:44:08 TCP/IP File Server started
19-09-08 18:14:08 TCP/IP File Server started
19-09-08 18:44:08 TCP/IP File Server started
19-09-08 19:14:08 TCP/IP File Server started
19-09-08 19:44:08 TCP/IP File Server started
19-09-08 20:14:08 TCP/IP File Server started
19-09-08 20:44:08 TCP/IP File Server started
19-09-08 21:14:08 TCP/IP File Server started
19-09-08 21:44:08 TCP/IP File Server started
19-09-08 22:14:08 TCP/IP File Server started
19-09-08 22:44:08 TCP/IP File Server started
19-09-08 23:14:08 TCP/IP File Server started
19-09-08 23:44:08 TCP/IP File Server started
19-09-09 00:14:08 TCP/IP File Server started
19-09-09 00:44:08 TCP/IP File Server started
19-09-09 01:14:09 TCP/IP File Server started
19-09-09 01:44:08 TCP/IP File Server started
19-09-09 02:14:08 TCP/IP File Server started
19-09-09 02:44:08 TCP/IP File Server started
19-09-09 03:14:08 TCP/IP File Server started
19-09-09 03:44:08 TCP/IP File Server started
19-09-09 04:14:08 TCP/IP File Server started
19-09-09 04:44:08 TCP/IP File Server started
19-09-09 05:14:08 TCP/IP File Server started
19-09-09 05:44:08 TCP/IP File Server started
19-09-09 06:14:08 TCP/IP File Server started
19-09-09 06:44:08 TCP/IP File Server started
19-09-09 07:14:08 TCP/IP File Server started
19-09-09 07:44:08 TCP/IP File Server started
19-09-09 08:14:08 TCP/IP File Server started
19-09-09 08:44:08 TCP/IP File Server started
19-09-09 09:14:08 TCP/IP File Server started
19-09-09 09:44:08 TCP/IP File Server started
19-09-09 10:14:08 TCP/IP File Server started
19-09-09 10:44:08 TCP/IP File Server started
19-09-09 11:14:08 TCP/IP File Server started
19-09-09 11:44:08 TCP/IP File Server started
19-09-09 12:14:08 TCP/IP File Server started
19-09-09 12:44:08 TCP/IP File Server started
19-09-09 13:14:08 TCP/IP File Server started
19-09-09 13:44:08 TCP/IP File Server started
19-09-09 14:14:08 TCP/IP File Server started
19-09-09 14:44:08 TCP/IP File Server started
19-09-09 15:14:08 TCP/IP File Server started
19-09-09 15:44:08 TCP/IP File Server started
19-09-09 16:14:08 TCP/IP File Server started
19-09-09 16:44:08 TCP/IP File Server started
19-09-09 17:14:08 TCP/IP File Server started
19-09-09 17:44:08 TCP/IP File Server started
19-09-09 18:14:08 TCP/IP File Server started
19-09-09 18:44:08 TCP/IP File Server started
19-09-09 19:14:08 TCP/IP File Server started
19-09-09 19:44:08 TCP/IP File Server started
19-09-09 20:14:08 TCP/IP File Server started
19-09-09 20:44:08 TCP/IP File Server started
19-09-09 21:14:08 TCP/IP File Server started
19-09-09 21:44:08 TCP/IP File Server started
19-09-09 22:14:08 TCP/IP File Server started
19-09-09 22:44:08 TCP/IP File Server started
19-09-09 23:14:08 TCP/IP File Server started
19-09-09 23:44:08 TCP/IP File Server started
19-09-10 00:14:08 TCP/IP File Server started
19-09-10 00:44:08 TCP/IP File Server started
19-09-10 01:14:08 TCP/IP File Server started
19-09-10 01:44:08 TCP/IP File Server started
19-09-10 02:14:08 TCP/IP File Server started
19-09-10 02:44:08 TCP/IP File Server started
19-09-10 03:14:08 TCP/IP File Server started
19-09-10 03:44:08 TCP/IP File Server started
19-09-10 04:14:08 TCP/IP File Server started
19-09-10 04:44:08 TCP/IP File Server started
19-09-10 05:14:08 TCP/IP File Server started
19-09-10 05:44:08 TCP/IP File Server started
19-09-10 06:14:08 TCP/IP File Server started
19-09-10 06:44:08 TCP/IP File Server started
19-09-10 07:14:08 TCP/IP File Server started
19-09-10 07:44:08 TCP/IP File Server started
19-09-10 08:14:08 TCP/IP File Server started
19-09-10 08:44:08 TCP/IP File Server started
19-09-10 09:14:08 TCP/IP File Server started
19-09-10 09:44:08 TCP/IP File Server started
19-09-10 10:14:08 TCP/IP File Server started
19-09-10 10:44:08 TCP/IP File Server started
19-09-10 11:14:08 TCP/IP File Server started
19-09-10 11:44:08 TCP/IP File Server started
19-09-10 12:14:08 TCP/IP File Server started
19-09-10 12:44:08 TCP/IP File Server started
19-09-10 13:14:08 TCP/IP File Server started
19-09-10 13:44:08 TCP/IP File Server started
19-09-10 14:14:08 TCP/IP File Server started
19-09-10 14:44:08 TCP/IP File Server started
19-09-10 15:14:08 TCP/IP File Server started
19-09-10 15:44:08 TCP/IP File Server started
19-09-10 16:14:08 TCP/IP File Server started
19-09-10 16:44:08 TCP/IP File Server started
19-09-10 17:14:08 TCP/IP File Server started
19-09-10 17:44:08 TCP/IP File Server started
19-09-10 18:14:08 TCP/IP File Server started
19-09-10 18:44:08 TCP/IP File Server started
19-09-10 19:14:08 TCP/IP File Server started
19-09-10 19:44:08 TCP/IP File Server started
19-09-10 20:14:08 TCP/IP File Server started
19-09-10 20:44:08 TCP/IP File Server started
19-09-10 21:14:08 TCP/IP File Server started
19-09-10 21:44:08 TCP/IP File Server started
19-09-10 22:14:08 TCP/IP File Server started
19-09-10 22:44:08 TCP/IP File Server started
19-09-10 23:14:08 TCP/IP File Server started
19-09-10 23:44:08 TCP/IP File Server started
19-09-11 00:14:08 TCP/IP File Server started
19-09-11 00:44:08 TCP/IP File Server started
19-09-11 01:14:08 TCP/IP File Server started
19-09-11 01:44:08 TCP/IP File Server started
19-09-11 02:14:08 TCP/IP File Server started
19-09-11 02:44:08 TCP/IP File Server started
19-09-11 03:14:08 TCP/IP File Server started
19-09-11 03:44:08 TCP/IP File Server started
19-09-11 04:14:08 TCP/IP File Server started
19-09-11 04:44:08 TCP/IP File Server started
19-09-11 05:14:08 TCP/IP File Server started
19-09-11 05:44:08 TCP/IP File Server started
19-09-11 06:14:08 TCP/IP File Server started
19-09-11 06:44:08 TCP/IP File Server started
19-09-11 07:14:08 TCP/IP File Server started
19-09-11 07:44:08 TCP/IP File Server started
19-09-11 08:14:08 TCP/IP File Server started
19-09-11 08:44:08 TCP/IP File Server started
19-09-11 09:14:08 TCP/IP File Server started
19-09-11 09:44:08 TCP/IP File Server started
19-09-11 10:14:08 TCP/IP File Server started
19-09-11 10:44:08 TCP/IP File Server started
19-09-11 11:14:08 TCP/IP File Server started
19-09-11 11:44:08 TCP/IP File Server started
19-09-11 12:14:08 TCP/IP File Server started
19-09-11 12:44:08 TCP/IP File Server started
19-09-11 13:14:08 TCP/IP File Server started
19-09-11 13:44:08 TCP/IP File Server started
19-09-11 14:14:08 TCP/IP File Server started
19-09-11 14:44:08 TCP/IP File Server started
19-09-11 15:14:08 TCP/IP File Server started
19-09-11 15:44:08 TCP/IP File Server started
19-09-11 16:14:08 TCP/IP File Server started
19-09-11 16:44:08 TCP/IP File Server started
19-09-11 17:14:08 TCP/IP File Server started
19-09-11 17:44:08 TCP/IP File Server started
19-09-11 18:14:08 TCP/IP File Server started
19-09-11 18:44:08 TCP/IP File Server started
19-09-11 19:14:08 TCP/IP File Server started
19-09-11 19:44:08 TCP/IP File Server started
19-09-11 20:14:08 TCP/IP File Server started
19-09-11 20:44:08 TCP/IP File Server started
19-09-11 21:14:08 TCP/IP File Server started
19-09-11 21:44:08 TCP/IP File Server started
19-09-11 22:14:08 TCP/IP File Server started
19-09-11 22:44:08 TCP/IP File Server started
19-09-11 23:14:08 TCP/IP File Server started
19-09-11 23:44:08 TCP/IP File Server started
19-09-12 00:14:08 TCP/IP File Server started
19-09-12 00:44:08 TCP/IP File Server started
19-09-12 01:14:08 TCP/IP File Server started
19-09-12 01:44:08 TCP/IP File Server started
19-09-12 02:14:08 TCP/IP File Server started
19-09-12 02:44:08 TCP/IP File Server started
19-09-12 03:14:08 TCP/IP File Server started
19-09-12 03:44:08 TCP/IP File Server started
19-09-12 04:14:08 TCP/IP File Server started
19-09-12 04:44:08 TCP/IP File Server started
19-09-12 05:14:08 TCP/IP File Server started
19-09-12 05:44:08 TCP/IP File Server started
19-09-12 06:14:08 TCP/IP File Server started
19-09-12 06:44:08 TCP/IP File Server started
19-09-12 07:14:08 TCP/IP File Server started
19-09-12 07:44:08 TCP/IP File Server started
19-09-12 08:14:08 TCP/IP File Server started
19-09-12 08:44:08 TCP/IP File Server started
19-09-12 09:14:08 TCP/IP File Server started
19-09-12 09:44:08 TCP/IP File Server started
19-09-12 10:14:08 TCP/IP File Server started
19-09-12 10:44:08 TCP/IP File Server started
19-09-12 11:14:08 TCP/IP File Server started
19-09-12 11:44:08 TCP/IP File Server started
19-09-12 12:14:08 TCP/IP File Server started
19-09-12 12:44:08 TCP/IP File Server started
19-09-12 13:14:08 TCP/IP File Server started
19-09-12 13:44:08 TCP/IP File Server started
19-09-12 14:14:08 TCP/IP File Server started
19-09-12 14:44:08 TCP/IP File Server started
19-09-12 15:14:08 TCP/IP File Server started
19-09-12 15:44:08 TCP/IP File Server started
19-09-12 16:14:08 TCP/IP File Server started
19-09-12 16:44:08 TCP/IP File Server started
19-09-12 17:14:08 TCP/IP File Server started
19-09-12 17:44:08 TCP/IP File Server started
19-09-12 18:14:08 TCP/IP File Server started
19-09-12 18:44:08 TCP/IP File Server started
19-09-12 19:14:08 TCP/IP File Server started
19-09-12 19:44:08 TCP/IP File Server started
19-09-12 20:14:08 TCP/IP File Server started
19-09-12 20:44:08 TCP/IP File Server started
19-09-12 21:14:08 TCP/IP File Server started
19-09-12 21:44:08 TCP/IP File Server started
19-09-12 22:14:08 TCP/IP File Server started
19-09-12 22:44:08 TCP/IP File Server started
19-09-12 23:14:08 TCP/IP File Server started
19-09-12 23:44:08 TCP/IP File Server started
19-09-13 00:14:08 TCP/IP File Server started
19-09-13 00:44:08 TCP/IP File Server started
19-09-13 01:14:08 TCP/IP File Server started
19-09-13 01:44:08 TCP/IP File Server started
19-09-13 02:14:08 TCP/IP File Server started
19-09-13 02:44:08 TCP/IP File Server started
19-09-13 03:14:08 TCP/IP File Server started
19-09-13 03:44:08 TCP/IP File Server started
19-09-13 04:14:08 TCP/IP File Server started
19-09-13 04:44:08 TCP/IP File Server started
19-09-13 05:14:08 TCP/IP File Server started
19-09-13 05:44:08 TCP/IP File Server started
19-09-13 06:14:08 TCP/IP File Server started
19-09-13 06:44:08 TCP/IP File Server started
19-09-13 07:14:08 TCP/IP File Server started
19-09-13 07:44:08 TCP/IP File Server started
19-09-13 08:14:08 TCP/IP File Server started
19-09-13 08:44:08 TCP/IP File Server started
19-09-13 09:14:08 TCP/IP File Server started
19-09-13 09:44:08 TCP/IP File Server started
19-09-13 10:14:08 TCP/IP File Server started
19-09-13 10:44:08 TCP/IP File Server started
19-09-13 11:14:08 TCP/IP File Server started
19-09-13 11:44:08 TCP/IP File Server started
19-09-13 12:14:08 TCP/IP File Server started
19-09-13 12:44:08 TCP/IP File Server started
19-09-13 13:14:08 TCP/IP File Server started
19-09-13 13:44:08 TCP/IP File Server started
19-09-13 14:14:08 TCP/IP File Server started
19-09-13 14:44:08 TCP/IP File Server started
19-09-13 15:14:08 TCP/IP File Server started
19-09-13 15:44:08 TCP/IP File Server started
19-09-13 16:14:08 TCP/IP File Server started
19-09-13 16:44:08 TCP/IP File Server started
19-09-13 17:14:08 TCP/IP File Server started
19-09-13 17:44:08 TCP/IP File Server started
19-09-13 18:14:08 TCP/IP File Server started
19-09-13 18:44:08 TCP/IP File Server started
19-09-13 19:14:08 TCP/IP File Server started
19-09-13 19:44:08 TCP/IP File Server started
19-09-13 20:14:08 TCP/IP File Server started
19-09-13 20:44:08 TCP/IP File Server started
19-09-13 21:14:08 TCP/IP File Server started
19-09-13 21:44:08 TCP/IP File Server started
19-09-13 22:14:08 TCP/IP File Server started
19-09-13 22:44:08 TCP/IP File Server started
19-09-13 23:14:08 TCP/IP File Server started
19-09-13 23:44:08 TCP/IP File Server started
19-09-14 00:14:08 TCP/IP File Server started
19-09-14 00:44:08 TCP/IP File Server started
19-09-14 01:14:08 TCP/IP File Server started
19-09-14 01:44:08 TCP/IP File Server started
19-09-14 02:14:08 TCP/IP File Server started
19-09-14 02:44:08 TCP/IP File Server started
19-09-14 03:14:08 TCP/IP File Server started
19-09-14 03:44:08 TCP/IP File Server started
19-09-14 04:14:08 TCP/IP File Server started
19-09-14 04:44:08 TCP/IP File Server started
19-09-14 05:14:08 TCP/IP File Server started
19-09-14 05:44:08 TCP/IP File Server started
19-09-14 06:14:08 TCP/IP File Server started
19-09-14 06:44:08 TCP/IP File Server started
19-09-14 07:14:08 TCP/IP File Server started
19-09-14 07:44:08 TCP/IP File Server started
19-09-14 08:14:08 TCP/IP File Server started
19-09-14 08:44:08 TCP/IP File Server started
19-09-14 09:14:08 TCP/IP File Server started
19-09-14 09:44:08 TCP/IP File Server started
19-09-14 10:14:08 TCP/IP File Server started
19-09-14 10:44:08 TCP/IP File Server started
19-09-14 11:14:08 TCP/IP File Server started
19-09-14 11:44:08 TCP/IP File Server started
19-09-14 12:14:08 TCP/IP File Server started
19-09-14 12:44:08 TCP/IP File Server started
19-09-14 13:14:08 TCP/IP File Server started
19-09-14 13:44:08 TCP/IP File Server started
19-09-14 14:14:08 TCP/IP File Server started
19-09-14 14:44:08 TCP/IP File Server started
19-09-14 15:14:08 TCP/IP File Server started
19-09-14 15:44:08 TCP/IP File Server started
19-09-14 16:14:08 TCP/IP File Server started
19-09-14 16:44:08 TCP/IP File Server started
19-09-14 17:14:08 TCP/IP File Server started
19-09-14 17:44:08 TCP/IP File Server started
19-09-14 18:14:08 TCP/IP File Server started
19-09-14 18:44:08 TCP/IP File Server started
19-09-14 19:14:08 TCP/IP File Server started
19-09-14 19:44:08 TCP/IP File Server started
19-09-14 20:14:08 TCP/IP File Server started
19-09-14 20:44:08 TCP/IP File Server started
19-09-14 21:14:08 TCP/IP File Server started
19-09-14 21:44:08 TCP/IP File Server started
19-09-14 22:14:08 TCP/IP File Server started
19-09-14 22:44:08 TCP/IP File Server started
19-09-14 23:14:08 TCP/IP File Server started
19-09-14 23:44:08 TCP/IP File Server started
19-09-15 00:14:08 TCP/IP File Server started
19-09-15 00:44:08 TCP/IP File Server started
19-09-15 01:14:08 TCP/IP File Server started
19-09-15 01:44:08 TCP/IP File Server started
19-09-15 02:14:08 TCP/IP File Server started
19-09-15 02:44:08 TCP/IP File Server started
19-09-15 03:14:08 TCP/IP File Server started
19-09-15 03:44:08 TCP/IP File Server started
19-09-15 04:14:08 TCP/IP File Server started
19-09-15 04:44:08 TCP/IP File Server started
19-09-15 05:14:08 TCP/IP File Server started
19-09-15 05:44:08 TCP/IP File Server started
19-09-15 06:14:08 TCP/IP File Server started
19-09-15 06:44:08 TCP/IP File Server started
19-09-15 07:14:08 TCP/IP File Server started
19-09-15 07:44:08 TCP/IP File Server started
19-09-15 08:14:08 TCP/IP File Server started
19-09-15 08:44:08 TCP/IP File Server started
19-09-15 09:14:08 TCP/IP File Server started
